ID #	Title Card Image	Location Image	Show	Season	Episode	Episode Title	Fictional Location	Filming Location 	Address	GPS LAT	GPS LONG	Description	Notes		Neighborhood	Borough	Building Type	
FRNDS-TV2	https://drive.google.com/file/d/1ncgLd4oRFItMba3_uqcHqv-PbEQHI4vy/view?usp=share_link		Friends	2	2	The One With The Breast Milk	Saks 5th Avenue		12 East 49th St	40.75762319	-73.97696489	"Bijan for men? ‘It’s like the mothership is calling you home’"			Midtown	Manhattan	Commericial	
FRNDS-TV3	https://drive.google.com/file/d/1ncgLd4oRFItMba3_uqcHqv-PbEQHI4vy/view?usp=share_link		Friends	2	21	The One With The Bullies	Moondance Diner		80 Sixth Ave	40.71912371	-74.00517958		The original establishment is now closed. 		Tribeca	Manhattan	Dining	
FRNDS-TV4	https://drive.google.com/file/d/1ncgLd4oRFItMba3_uqcHqv-PbEQHI4vy/view?usp=share_link		Friends	3	11	The One Where Chandler Can't Remember Which Sister	Bloomingdales		59th St and 1000 Third Ave, Lexington Ave	40.76308587	-73.96706193				Midtown	Manhattan	Commericial	
FRNDS-TV5	https://drive.google.com/file/d/1ncgLd4oRFItMba3_uqcHqv-PbEQHI4vy/view?usp=share_link		Friends	3	22	The One With The Screamer	Lucille Lortel Theatre		121 Christopher St	40.73395672	-74.00577204				West Village	Manhattan	Commericial	
FRNDS-TV6	https://drive.google.com/file/d/1ncgLd4oRFItMba3_uqcHqv-PbEQHI4vy/view?usp=share_link		Friends	4	11	The One With Pheobe's Uterus	Museum of Natural History		200 Central Park W	40.78146523	-73.97395484				Upper West Side	Manhattan	Museum	
FRNDS-TV7	https://drive.google.com/file/d/1ncgLd4oRFItMba3_uqcHqv-PbEQHI4vy/view?usp=share_link		Friends				FRIEND's Apartment		90 Bedford St	40.73268166	-74.00516571				West Village	Manhattan	Private Residence	
FRNDS-TV8	https://drive.google.com/file/d/1ncgLd4oRFItMba3_uqcHqv-PbEQHI4vy/view?usp=share_link		Friends				Central Perk	The Little Owl	90 Bedford St	40.73268166	-74.00516571				West Village	Manhattan	Dining	
FRNDS-TV9	https://drive.google.com/file/d/1ncgLd4oRFItMba3_uqcHqv-PbEQHI4vy/view?usp=share_link		Friends				Cherry Hill Fountain		Central Park	40.77488542	-73.9727444	"I'll be there for you..."			Central Park	Manhattan	Public Park	
FRNDS-TV10	https://drive.google.com/file/d/1ncgLd4oRFItMba3_uqcHqv-PbEQHI4vy/view?usp=share_link		Friends				Phoebe's Apartment		5 Morton St	40.73285331	-74.00354494				West Village	Manhattan	Private Residence	
GSPGRL-TV1	https://drive.google.com/file/d/1E0AZ9Vm-W8oYaqRmGAmm1W4BsLybK0rR/view?usp=share_link		Gossip Girl	1	1	Pilot	Metropolitan Museum of Art		1000 Fifth Ave	40.7794	-73.9631				Upper East Side	Manhattan	Museum	The very place where Blair Waldorf frequently indulges in leisurely lunches with her loyal minions, perched upon its iconic steps.
GSPGRL-TV2	https://drive.google.com/file/d/1E0AZ9Vm-W8oYaqRmGAmm1W4BsLybK0rR/view?usp=share_link		Gossip Girl	1	1	Pilot	Constance Billard School & St. Jude School	Museum of the City of New York	1220 Fifth Ave at 103rd St	40.792556	-73.951944				Upper East Side	Manhattan	Museum	Grand entrance to both Constance Billard School and St. Jude School
GSPGRL-TV3	https://drive.google.com/file/d/1E0AZ9Vm-W8oYaqRmGAmm1W4BsLybK0rR/view?usp=share_link		Gossip Girl	1	1	Pilot	The Humphrey Loft		55 Water St	40.7035408	-73.9919894				Dumbo	Brooklyn	Private Residence	Where the Humphrey's lived
GSPGRL-TV4	https://drive.google.com/file/d/1E0AZ9Vm-W8oYaqRmGAmm1W4BsLybK0rR/view?usp=share_link		Gossip Girl	1	1	Pilot	The Archibald Townhouse		4 E 74th St	40.7733612	-73.9656138				Upper East Side	Manhattan	Private Residence	Where The Archibald's lived
GSPGRL-TV5	https://drive.google.com/file/d/1E0AZ9Vm-W8oYaqRmGAmm1W4BsLybK0rR/view?usp=share_link		Gossip Girl	1	1	Pilot	Grand Central Terminal		89 E 42nd St	40.7733612	-73.977253				Midtown	Manhattan	Public Venue	Where Serena shows back up, featured a lot
GSPGRL-TV6	https://drive.google.com/file/d/1E0AZ9Vm-W8oYaqRmGAmm1W4BsLybK0rR/view?usp=share_link		Gossip Girl	1	1	Pilot	Lotte New York Palace	The New York Palace Hotel	455 Madison Ave	40.7579803	-73.974769				Midtown	Manhattan	Commericial	Fictionally owned by Chuck Bass’ father. In episode 1, Chuck orders an off-menu truffle grilled cheese to seduce a drunken Woodsen.
GSPGRL-TV7	https://drive.google.com/file/d/1E0AZ9Vm-W8oYaqRmGAmm1W4BsLybK0rR/view?usp=share_link		Gossip Girl	1	7	Desperately Seeking Serena	Hunter College		Park Avenue 695	40.76784	-73.964529				Upper East Side	Manhattan	Commericial	the crew took the SATs and Dan found out Serena has somebody else take her test for her.
GSPGRL-TV8	https://drive.google.com/file/d/1E0AZ9Vm-W8oYaqRmGAmm1W4BsLybK0rR/view?usp=share_link		Gossip Girl	1	18	Much "I Do" About Nothing	Cooper Hewitt Smithsonian Design Museum		2 E 91st St	40.784396	-73.957873				Upper East Side	Manhattan	Museum	Bass / van der Woodsen wedding in the dramatic Season 1 finale.
GSPGRL-TV9	https://drive.google.com/file/d/1E0AZ9Vm-W8oYaqRmGAmm1W4BsLybK0rR/view?usp=share_link		Gossip Girl	2	3	The Dark Night	Saks Fifth Avenue		611 Fifth Ave	40.7580228	-73.97695				Midtown	Manhattan	Commericial	Lots of diff things here
GSPGRL-TV10	https://drive.google.com/file/d/1E0AZ9Vm-W8oYaqRmGAmm1W4BsLybK0rR/view?usp=share_link		Gossip Girl	2	25	The Goodbye Gossip Girl	Blair's Sweet 16	The Plaza Hotel	768 Fifth Ave	40.7640152	-73.97322845				Midtown	Manhattan	Public Venue	Blair's Sweet 16
GSPGRL-TV11	https://drive.google.com/file/d/1E0AZ9Vm-W8oYaqRmGAmm1W4BsLybK0rR/view?usp=share_link		Gossip Girl	3	1	Reversals of Fortune	The Empire Hotel		44 W 63rd St	40.7713368	-73.9826001				Upper West Side	Manhattan	Public Venue	Chuck Bass opens the Empire Hotel
GSPGRL-TV12	https://drive.google.com/file/d/1E0AZ9Vm-W8oYaqRmGAmm1W4BsLybK0rR/view?usp=share_link		Gossip Girl	3	22	Last Tango, Then Paris,	Empire State Building		20 W 34th St	40.7484421	-73.9856589				Midtown	Manhattan	Public Venue	Chuck waits for Blair with ultimatum here
GSPGRL-TV13	https://drive.google.com/file/d/1E0AZ9Vm-W8oYaqRmGAmm1W4BsLybK0rR/view?usp=share_link		Gossip Girl	3	22	Last Tango, Then Paris,	Harry Winston		701 5th Ave	40.7614357	-73.9748617				Midtown	Manhattan	Commericial	Chuck buys ring for blair here and leaves it there
GSPGRL-TV14	https://drive.google.com/file/d/1E0AZ9Vm-W8oYaqRmGAmm1W4BsLybK0rR/view?usp=share_link		Gossip Girl	4	10	Gaslit	Butter		 70 W 45th St	40.7563313	-73.9821945				Midtown	Manhattan	Commericial	This is constantly brought up but Blair eats there this episiode
GSPGRL-TV15	https://drive.google.com/file/d/1E0AZ9Vm-W8oYaqRmGAmm1W4BsLybK0rR/view?usp=share_link		Gossip Girl	4	19	Pretty in Pink	Veselka		144 2nd Ave	40.7289775	-73.9869985				East Village	Manhattan	Commericial	Dan eats there. A lot
GSPGRL-TV16	https://drive.google.com/file/d/1E0AZ9Vm-W8oYaqRmGAmm1W4BsLybK0rR/view?usp=share_link		Gossip Girl	5	13	G.G.	Prince Louis and Blair’s Wedding	St James' Church	865 Madison Ave 	40.7711659	-73.9654174				Upper East Side	Manhattan	Public Venue	Prince Louis and Blair’s Wedding
GSPGRL-TV17	https://drive.google.com/file/d/1E0AZ9Vm-W8oYaqRmGAmm1W4BsLybK0rR/view?usp=share_link		Gossip Girl	6	10	New York, I Love You XOXO	Chuck and Blair's Wedding	Bethesda Fountain	Central Park	40.7741371	-73.9734992				Central Park	Manhattan	Public Venue	Chuck and Blair's Wedding
SNFLD-TV1	https://drive.google.com/file/d/1LkYgH6ImENKYMbU_00co13VyvlGYqsN0/view?usp=share_link		Seinfeld	4	14	The Movie	Gray’s Papaya		2090 Broadway	40.77855831	-73.98154446				Upper West Side	Manhattan	Dining	
SNFLD-TV2	https://drive.google.com/file/d/1LkYgH6ImENKYMbU_00co13VyvlGYqsN0/view?usp=share_link		Seinfeld	6	9	The Secretary	Barneys New York		101 7th Ave	40.74010824	-73.99798877		The original establishment is now closed. 		Midtown	Manhattan	Commericial	
SNFLD-TV3	https://drive.google.com/file/d/1LkYgH6ImENKYMbU_00co13VyvlGYqsN0/view?usp=share_link		Seinfeld	7	6	The Soup Nazi	The Original Soup Kitchen		259A W 55th St	40.76563514	-73.98289999				Midtown	Manhattan	Dining	
SNFLD-TV4	https://drive.google.com/file/d/1LkYgH6ImENKYMbU_00co13VyvlGYqsN0/view?usp=share_link		Seinfeld	8	3	Bizarro Jerry	Reggie's Diner	Munson Diner	West 49th and 11th Ave	40.76548607	-73.99514848				Hell's Kitchen	Manhattan	Dining	
SNFLD-TV5	https://drive.google.com/file/d/1LkYgH6ImENKYMbU_00co13VyvlGYqsN0/view?usp=share_link		Seinfeld	8	22	The Summer of George	Sardi's 		234 West 44th St	40.75833442	-73.98739867				Midtown	Manhattan	Dining	
SNFLD-TV6	https://drive.google.com/file/d/1LkYgH6ImENKYMbU_00co13VyvlGYqsN0/view?usp=share_link		Seinfeld	9	10	The Strike	H&H Bagels		526 Columbus Ave	40.78844754	-73.97263428		This is not the original location, the original was 2239 Broadway.		Upper West Side	Manhattan	Dining	
SNFLD-TV7	https://drive.google.com/file/d/1LkYgH6ImENKYMbU_00co13VyvlGYqsN0/view?usp=share_link		Seinfeld				Monk's Cafe	Tom's Restaurant	2880 Broadway	40.80564458	-73.96541016				Morningside Heights	Manhattan	Dining	
SNFLD-TV8	https://drive.google.com/file/d/1LkYgH6ImENKYMbU_00co13VyvlGYqsN0/view?usp=share_link		Seinfeld				Costanza House		22-37 37th St	40.77306	-73.90827605				Astoria	Queens	Private Residence	
SNFLD-TV9	https://drive.google.com/file/d/1LkYgH6ImENKYMbU_00co13VyvlGYqsN0/view?usp=share_link		Seinfeld				The Improv		358 W 44th St	40.75956412	-73.99134572		The original establishment is now closed. 		Hell's Kitchen	Manhattan	Commericial	
SNFLD-TV10	https://drive.google.com/file/d/1LkYgH6ImENKYMbU_00co13VyvlGYqsN0/view?usp=share_link		Seinfeld				Yankee Stadium		1 E 161st St	40.83016684	-73.92656416				South Bronx	the Bronx	Public Venue	
SNFLD-TV11	https://drive.google.com/file/d/1LkYgH6ImENKYMbU_00co13VyvlGYqsN0/view?usp=share_link		Seinfeld				Jerry's Apartment		129 W 82st St	40.78532676	-73.97665803				Upper West Side	Manhattan	Private Residence	
GIRLS-TV1	https://drive.google.com/file/d/1r2Y-8HJplh-tZk9dPaVyatMcvE2sZVbz/view?usp=share_link		Girls	1	1	Pilot	Murals On 54		63 W 54th St	40.76263836	-73.97798899				Midtown	Manhattan	Dining	
GIRLS-TV2	https://drive.google.com/file/d/1r2Y-8HJplh-tZk9dPaVyatMcvE2sZVbz/view?usp=share_link		Girls	1	10	She Did	Jessa and Thomas-John's Wedding Venue	The Foundry	42-38 9th St	40.75576138	-73.94392974				Long Island City	Queens	Commericial	
GIRLS-TV3	https://drive.google.com/file/d/1r2Y-8HJplh-tZk9dPaVyatMcvE2sZVbz/view?usp=share_link		Girls	1	7	Welcome to Bushwick a.k.a. The Crackcident	McKibbin Lofts		255 McKibbin St	40.7060467	-73.93707004				Bushwick	Brooklyn	Private Residence	
GIRLS-TV4	https://drive.google.com/file/d/1r2Y-8HJplh-tZk9dPaVyatMcvE2sZVbz/view?usp=share_link		Girls	2	4	It's a Shame About Ray	Peter Luger Steakhouse		178 Broadway	40.71011322	-73.96255885				Williamsburg	Brooklyn	Dining	
GIRLS-TV5	https://drive.google.com/file/d/1r2Y-8HJplh-tZk9dPaVyatMcvE2sZVbz/view?usp=share_link		Girls	2	2	Vagina Panic	Tom and Jerry's 		288 Elizabeth St	40.72476067	-73.99318452				East Village	Manhattan	Bar	
GIRLS-TV6	https://drive.google.com/file/d/1r2Y-8HJplh-tZk9dPaVyatMcvE2sZVbz/view?usp=share_link		Girls	2	10	Together	Roberta's Pizza		261 Moore St	40.70787724	-73.93139849				Bushwick	Brooklyn	Dining	
GIRLS-TV7	https://drive.google.com/file/d/1r2Y-8HJplh-tZk9dPaVyatMcvE2sZVbz/view?usp=share_link		Girls	2	5	I Just Want To Be Happy	Joshua's Brownstone		52 South Oxford St	40.6882512	-73.97392899				Fort Greene	Brooklyn	Private Residence	
GIRLS-TV8	https://drive.google.com/file/d/1r2Y-8HJplh-tZk9dPaVyatMcvE2sZVbz/view?usp=share_link		Girls	3	7	Beach House	The Beach House		5795 Rocky Point Road	41.1421434	-72.35141944				East Marion	Long Island	Private Residence	
GIRLS-TV9	https://drive.google.com/file/d/1r2Y-8HJplh-tZk9dPaVyatMcvE2sZVbz/view?usp=share_link		Girls	4	6	Close-Up	Cafe Mogador		133 Wythe Ave	40.72215925	-73.9538456				Williamsburg	Brooklyn	Dining	
GIRLS-TV10	https://drive.google.com/file/d/1r2Y-8HJplh-tZk9dPaVyatMcvE2sZVbz/view?usp=share_link		Girls	4	1	Iowa	Spring Street Natural		62 Spring St	40.72279772	-73.99737107				Soho	Manhattan	Dining	
GIRLS-TV11	https://drive.google.com/file/d/1r2Y-8HJplh-tZk9dPaVyatMcvE2sZVbz/view?usp=share_link		Girls	4	8	Tad & Loreen & Avi & Shanaz	Toby's Estate	Partner's Coffee	125 N 6th St	40.71876274	-73.95499708				Williamsburg	Brooklyn	Dining	
GIRLS-TV12	https://drive.google.com/file/d/1r2Y-8HJplh-tZk9dPaVyatMcvE2sZVbz/view?usp=share_link		Girls	4	9	Daddy Issues	The Gutter		200 N 14th St	40.72298689	-73.95518843				Williamsburg	Brooklyn	Bar	
GIRLS-TV13	https://drive.google.com/file/d/1r2Y-8HJplh-tZk9dPaVyatMcvE2sZVbz/view?usp=share_link		Girls	4	10	Home Birth	Pete's Candy Store		709 Lorimer St	40.71844774	-73.94908523				Williamsburg	Brooklyn	Bar	
GIRLS-TV14	https://drive.google.com/file/d/1r2Y-8HJplh-tZk9dPaVyatMcvE2sZVbz/view?usp=share_link		Girls	5	5	Queen for Two Days	Meow Parlor		43 Essex St	40.71646695	-73.98950427				Lower East Side	Manhattan	Commericial	
GIRLS-TV15	https://drive.google.com/file/d/1r2Y-8HJplh-tZk9dPaVyatMcvE2sZVbz/view?usp=share_link		Girls	6	8	What Will We Do This Time About Adam?	Kellog's Diner		518 Metropolitan Ave	40.71397426	-73.95153572	"Good soup."			Williamsburg	Brooklyn	Dining	
GIRLS-TV16	https://drive.google.com/file/d/1r2Y-8HJplh-tZk9dPaVyatMcvE2sZVbz/view?usp=share_link		Girls				Ray's 	Speedy Romeo's 	376 Classon Ave	40.68992737	-73.95473291				Clinton Hill	Brooklyn	Dining	
GIRLS-TV17	https://drive.google.com/file/d/1r2Y-8HJplh-tZk9dPaVyatMcvE2sZVbz/view?usp=share_link		Girls				Cafe Grumpy		93 Meserole Ave	40.72749709	-73.95365227				Greenpoint	Brooklyn	Dining	
GIRLS-TV18	https://drive.google.com/file/d/1r2Y-8HJplh-tZk9dPaVyatMcvE2sZVbz/view?usp=share_link		Girls				Hannah's Stoop		1616 India St	40.73237179	-73.95529363				Greenpoint	Brooklyn	Private Residence	
GIRLS-TV19	https://drive.google.com/file/d/1r2Y-8HJplh-tZk9dPaVyatMcvE2sZVbz/view?usp=share_link		Girls				Snug Harbor 		1000 Richmond Ter	40.64349104	-74.10242986		This is where the show filmed all scenes that take place in "Iowa."		Staten Island	Staten Island	Public Park	
GIRLS-TV20	https://drive.google.com/file/d/1r2Y-8HJplh-tZk9dPaVyatMcvE2sZVbz/view?usp=share_link		Girls				Lehmann Maupin Gallery		501 W 24th St	40.74876751	-74.00380967				Chelsea	Manhattan	Commericial	
BRDCTY-TV3	https://drive.google.com/file/d/1LMwNnYOuBnT4kOcfP2l6fZGS4JWHxzdA/view?usp=share_link		Broad City	1	4	The Lockout	Grounded Coffee		30 Jane St	40.737965	-74.003487		The original establishment is now closed. 		West Village	Manhattan	Dining	
BRDCTY-TV4	https://drive.google.com/file/d/1LMwNnYOuBnT4kOcfP2l6fZGS4JWHxzdA/view?usp=share_link		Broad City	1	6	Stolen Phone	Magnolia Bakery		401 Bleecker St	40.73688435	-74.00330862	"You guys don't have any wine? Well, what about white wine?"			West Village	Manhattan	Dining	
BRDCTY-TV5	https://drive.google.com/file/d/1LMwNnYOuBnT4kOcfP2l6fZGS4JWHxzdA/view?usp=share_link		Broad City	1	2	Pu$$y Weed	Economy Candy		108 Rivington St	40.72094152	-73.98485626	"I'm an adult, and I'm responsible.... Let's get some candy."			Lower East Side	Manhattan	Dining	
BRDCTY-TV6	https://drive.google.com/file/d/1LMwNnYOuBnT4kOcfP2l6fZGS4JWHxzdA/view?usp=share_link		Broad City	1	3	Working Girls	Package Pickup Center		North Brother Island	40.80146728	-73.89474649	"You'll never get off the island...sorry, I'm watching Shutter Island."			North Brother Island	Queens	Public Venue	
BRDCTY-TV7	https://drive.google.com/file/d/1LMwNnYOuBnT4kOcfP2l6fZGS4JWHxzdA/view?usp=share_link		Broad City	2	10	St Marks	The Meat Sack	KENKA	25 St Marks Place	40.7300064	-73.98623144				East Village	Manhattan	Public Venue	
BRDCTY-TV8	https://drive.google.com/file/d/1LMwNnYOuBnT4kOcfP2l6fZGS4JWHxzdA/view?usp=share_link		Broad City	2	3	Wisdom Teeth	Whole Foods		214 3rd St, Brooklyn, NY 11215	40.67512877	-73.98781999	"Mmm, this is some high class shit!"			Gowanus	Brooklyn	Commerical	
BRDCTY-TV9	https://drive.google.com/file/d/1LMwNnYOuBnT4kOcfP2l6fZGS4JWHxzdA/view?usp=share_link		Broad City	2	8	Kirk Steele	Flight 151	Shaffer's 	151 8th Ave	40.74274873	-73.9993198	"This job is putting wristbands on people. Honestly, a fuckin idiot could do it."			Chelsea	Manhattan	Bar	
BRDCTY-TV10	https://drive.google.com/file/d/1LMwNnYOuBnT4kOcfP2l6fZGS4JWHxzdA/view?usp=share_link		Broad City	2	9	Coat Check	The National Arts Club		15 Gramercy Pk S	40.73822553	-73.98430668				Gramercy Park	Manhattan	Commerical	
BRDCTY-TV11	https://drive.google.com/file/d/1LMwNnYOuBnT4kOcfP2l6fZGS4JWHxzdA/view?usp=share_link		Broad City	2	1	In Heat	Baruch College		151 E 25th St #850	40.74093846	-73.98163235	"We're gonna teach you boys about the dangers of ripping underage bongs."			Gramercy Park	Manhattan	Commerical	
BRDCTY-TV12	https://drive.google.com/file/d/1LMwNnYOuBnT4kOcfP2l6fZGS4JWHxzdA/view?usp=share_link		Broad City	2	8	Kirk Steele	Beacon's Closet		74 Guernsey St	40.72456899	-73.94923104	"Remember me? Well, we remember you. 'Cause your hair and lipstick look cute."			Greenpoint	Brooklyn	Commercial	
BRDCTY-TV13	https://drive.google.com/file/d/1LMwNnYOuBnT4kOcfP2l6fZGS4JWHxzdA/view?usp=share_link		Broad City	2	5	Hashtag FOMO	Star On 18 		128 10th Ave	40.74511328	-74.00540344				Chelsea	Manhattan	Dining	
BRDCTY-TV14	https://drive.google.com/file/d/1LMwNnYOuBnT4kOcfP2l6fZGS4JWHxzdA/view?usp=share_link		Broad City	2	6	The Matrix	Dog Wedding		Prospect Park	40.66043706	-73.96837216				Prospect Park	Brooklyn	Public Venue	
BRDCTY-TV15	https://drive.google.com/file/d/1LMwNnYOuBnT4kOcfP2l6fZGS4JWHxzdA/view?usp=share_link		Broad City	2	5	Hashtag FOMO	The Back Room 		102 Norfolk St	40.71990065	-73.9852352				Lower East Side	Manhattan	Bar	
BRDCTY-TV16	https://drive.google.com/file/d/1LMwNnYOuBnT4kOcfP2l6fZGS4JWHxzdA/view?usp=share_link		Broad City	2	3	Wisdom Teeth	42 Squirts	16 Handles	139 N 7th St	40.71910335	-73.95833449				Williamsburg	Brooklyn	Dining	
BRDCTY-TV17	https://drive.google.com/file/d/1LMwNnYOuBnT4kOcfP2l6fZGS4JWHxzdA/view?usp=share_link		Broad City	3	7	B&B NYC	40/40 Club		6 W 25th St	40.74420102	-73.9879847	"In the clurb, we all fam!"	The original establishment is now closed. 		Nomad	Manhattan	Bar	
BRDCTY-TV18	https://drive.google.com/file/d/1LMwNnYOuBnT4kOcfP2l6fZGS4JWHxzdA/view?usp=share_link		Broad City	3	2	Co-Op	Greene Hill Food Co-op		1083 Fulton St	40.68215814	-73.95737142				Clinton Hill	Brooklyn	Commercial	
BRDCTY-TV19	https://drive.google.com/file/d/1LMwNnYOuBnT4kOcfP2l6fZGS4JWHxzdA/view?usp=share_link		Broad City	3	1	Two Chainz	Circus Academy New York		Pier 40, 353 West St	40.73038927	-74.01007962				West Village	Manhattan	Commercial	
BRDCTY-TV20	https://drive.google.com/file/d/1LMwNnYOuBnT4kOcfP2l6fZGS4JWHxzdA/view?usp=share_link		Broad City	4	1	Sliding Doors	Grey Dog		49 Carmine St	40.7310673	-74.00164943				West Village	Manhattan	Dining	
BRDCTY-TV21	https://drive.google.com/file/d/1LMwNnYOuBnT4kOcfP2l6fZGS4JWHxzdA/view?usp=share_link		Broad City	4	3	Just The Tips	Pleasure Chest		156 7th Ave S	40.73644523	-73.99790441				West Village	Manhattan	Commercial	
